script	url	sha1sum
Applications/Accessories/7-zip/Online/script.js	https://www.7-zip.org/a/7z2600.exe	d730e5629122f7cdc1cf78f5667e75e1ffb05672
Applications/Accessories/ImgBurn/Online/script.js	http://download.imgburn.com/SetupImgBurn_2.5.8.0.exe	6a3d20796e1fcd4169d5d339af6e491dcea3367c
Applications/Accessories/MobilePASS/Online/script.js	https://raw.githubusercontent.com/ahmedmoselhi/wine_applications/refs/heads/main/SafeNet%20MobilePASS_8_4_6.msi	9d5a5ac56e1393ea5ce567b9c0e19dae2ef945d3
Applications/Accessories/Soundplant/Online/script.js	https://soundplant.org/downloads/Soundplant59_Win_setup.exe	0d54ed651b43776efe1e46542903456ec6e14d2e
Applications/Development/Enterprise Architect/Online (Trial)/script.js	https://www.sparxsystems.com/bin/easetup.msi	67fb5e17da890a17dbb11d9daee8616709cda2ca
Applications/Development/Notepad++/Online/script.js	https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.9.2/npp.8.9.2.Installer.x64.exe	5aca07500f99a8afee0e98c5265803607c4c749b
Applications/Games/Crayon Physics/Online/script.js	http://www.kloonigames.com/download/crayon.zip	4561230bb4a6c7cd1188884a01f2adbf733c5233
Applications/Games/DC Universe Online/Online/script.js	https://launch.daybreakgames.com/installer/DCUO_setup.exe	
Applications/Games/Dreamscapes/Online/script.js	https://cdn.gametop.com/free-games-download/Dreamscapes-The-Sandman.exe	a8f202256998b1dfd259f7caaf87d4f7b3e12279
Applications/Games/Dreamscapes 2/Online/script.js	https://cdn.gametop.com/free-games-download/Dreamscapes-2.exe	67eddd599d63141e4df4e85e795fa2fd3259f0c4
Applications/Games/Druid Soccer/Online/script.js	http://www.kloonigames.com/download.php?file=druid.zip	75751e71dca60fb94d8d39b5f210384c435e4918
Applications/Games/Earth Eternal - Valkal's Shadow/Online/script.js	http://www.theanubianwar.com/sites/default/files/downloads/EarthEternal_Valkals_Shadow_Setup.exe	
Applications/Games/Enderal/Steam/script.js		7aefb75f933764f9de394ba40d712775961ba137
Applications/Games/Epic Games Launcher/Online/script.js		6734c5c990715816021351b0bd0a7527e7a226fa
Applications/Games/Fall Of The New Age/Online/script.js	https://cdn.gametop.com/free-games-download/Fall-of-the-New-Age.exe	7cfcddde5e7a21dc1badce54ec29201c23012143
Applications/Games/GOG Galaxy/Online/script.js	https://content-system.gog.com/open_link/download?path=/open/galaxy/client/setup_galaxy_1.2.51.30.exe	faa29721de18a171561a3e4dfa243953ff98aa09
Applications/Games/Guild Wars 2/Online/script.js	https://s3.amazonaws.com/gw2cdn/client/branches/Gw2Setup.exe	febee41863ed7b844ea683f0931b9e7b0c9ee064
Applications/Games/Hearthstone/Online/script.js	https://eu.battle.net/download/getInstaller?os=win&installer=Hearthstone-Setup.exe	
Applications/Games/Heroes of the Storm/Online/script.js	https://eu.battle.net/download/getInstaller?os=win&installer=Heroes-of-the-Storm-Setup.exe	
Applications/Games/Icy Tower/v1.5/script.js	http://www.icytower.cz/download/icytower15_install.exe	
Applications/Games/Lego Rock Raiders/Local/script.js	http://rrubucket.s3.amazonaws.com/RockRaidersCodec_490085.zip	efabe957e6d6dff015dfc4ceb04f00466a895782
Applications/Games/Magic The Gathering Arena/Online/script.js	https://mtgarena.downloads.wizards.com/Live/Windows32/MTGAInstaller.exe	
Applications/Games/Namariel Legends: Iron Lord/Online/script.js	https://cdn.gametop.com/free-games-download/Namariel-Legends-Iron-Lord.exe	c2c07aa8c8169b9da7f20e355bba460b6e7e356f
Applications/Games/Origin/Local (Legacy)/script.js	https://origin-a.akamaihd.net/Origin-Client-Download/origin/live/OriginUpdate_9_12_0_34172.zip	c4a2a742f966efa0114bf8025699007ebbda4d8f
Applications/Games/Origin/Online/script.js	https://www.dm.origin.com/download/OriginThinSetup.exe	
Applications/Games/Origin/Online (Legacy)/script.js	https://origin-a.akamaihd.net/Origin-Client-Download/origin/legacy/OriginThinSetup.exe	c4a2a742f966efa0114bf8025699007ebbda4d8f
Applications/Games/Origin/Online (Legacy)/script.js	https://origin-a.akamaihd.net/Origin-Client-Download/origin/live/OriginUpdate_9_12_0_34172.zip	
Applications/Games/Overwatch/Online/script.js	https://eu.battle.net/download/getInstaller?os=win&installer=Overwatch-Setup.exe	
Applications/Games/Prehistorik/Online/script.js	https://repository.playonlinux.com/divers/oldware/historik.zip	62a21d0dfcd68ae61646e1bc5b1c4a03b3e1091f
Applications/Games/Prince Of Persia: Original/Online/script.js	https://repository.playonlinux.com/divers/oldware/prince.zip	6c4148233f840011715c351c399d35b0fc716ae7
